"source","shot","start_s","end_s","duration_s"
"a","1","0","0.046","0.046"
"a","2","0.046","4.791","4.744"
"a","3","4.791","6.186","1.395"
"a","4","6.186","8.791","2.605"
"a","5","8.791","10.465","1.674"
"a","6","10.465","11.302","0.837"
"a","7","11.302","12.093","0.791"
"a","8","12.093","12.651","0.558"
"a","9","12.651","13.814","1.163"
"a","10","13.814","14.977","1.163"
"a","11","14.977","17.907","2.93"
"a","12","17.907","18.558","0.651"
"a","13","18.558","19.116","0.558"
"a","14","19.116","19.721","0.605"
"a","15","19.721","20.698","0.977"
"a","16","20.698","20.977","0.279"
"a","17","20.977","21.442","0.465"
"a","18","21.442","21.767","0.326"
"a","19","21.767","32.372","10.605"
"a","20","32.372","33.023","0.651"
"a","21","33.023","33.814","0.791"
"a","22","33.814","34.93","1.116"
"a","23","34.93","35.581","0.651"
"a","24","35.581","36.093","0.512"
"a","25","36.093","37.116","1.023"
"a","26","37.116","38.14","1.023"
"a","27","38.14","39.07","0.93"
"a","28","39.07","41.116","2.047"
"a","29","41.116","41.395","0.279"
"a","30","41.395","42.279","0.884"
"a","31","42.279","42.419","0.14"
"a","32","42.419","42.512","0.093"
"a","33","42.512","43.116","0.605"
"a","34","43.116","43.954","0.837"
"a","35","43.954","44.744","0.791"
"a","36","44.744","45.674","0.93"
"a","37","45.674","46.791","1.116"
"a","38","46.791","47.907","1.116"
"a","39","47.907","47.954","0.047"
"a","40","47.954","48.977","1.023"
"a","41","48.977","50.465","1.488"
"a","42","50.465","51.488","1.023"
"a","43","51.488","53.721","2.233"
"a","44","53.721","54.465","0.744"
"a","45","54.465","55.349","0.884"
"a","46","55.349","56.512","1.163"
"a","47","56.512","58.046","1.535"
"a","48","58.046","58.977","0.93"
"a","49","58.977","59.86","0.884"
"a","50","59.86","60.651","0.791"
"a","51","60.651","62.419","1.767"
"a","52","62.419","62.884","0.465"
"a","53","62.884","64.326","1.442"
"a","54","64.326","64.837","0.512"
"a","55","64.837","65.349","0.512"
"a","56","65.349","67.674","2.326"
"a","57","67.674","68.512","0.837"
"a","58","68.512","71.349","2.837"
"a","59","71.349","72.326","0.977"
