"source","shot","start_s","end_s","duration_s"
"b","1","0","7.9","7.9"
"b","2","7.9","10.533","2.633"
"b","3","10.533","11.333","0.8"
"b","4","11.333","12.167","0.833"
"b","5","12.167","12.7","0.533"
"b","6","12.7","13.867","1.167"
"b","7","13.867","15.033","1.167"
"b","8","15.033","15.833","0.8"
"b","9","15.833","17.933","2.1"
"b","10","17.933","18.567","0.633"
"b","11","18.567","19.133","0.567"
"b","12","19.133","19.733","0.6"
"b","13","19.733","20.7","0.967"
"b","14","20.7","21.033","0.333"
"b","15","21.033","21.467","0.433"
"b","16","21.467","21.8","0.333"
"b","17","21.8","23.167","1.367"
"b","18","23.167","24.267","1.1"
"b","19","24.267","25","0.733"
"b","20","25","26.333","1.333"
"b","21","26.333","28.333","2"
"b","22","28.333","29.567","1.233"
"b","23","29.567","31.333","1.767"
"b","24","31.333","32.367","1.033"
"b","25","32.367","33","0.633"
"b","26","33","33.867","0.867"
"b","27","33.867","34.933","1.067"
"b","28","34.933","35.6","0.667"
"b","29","35.6","36.133","0.533"
"b","30","36.133","36.5","0.367"
"b","31","36.5","37.167","0.667"
"b","32","37.167","38.133","0.967"
"b","33","38.133","39.067","0.933"
"b","34","39.067","41.1","2.033"
"b","35","41.1","41.4","0.3"
"b","36","41.4","41.667","0.267"
"b","37","41.667","42.267","0.6"
"b","38","42.267","42.3","0.033"
"b","39","42.3","42.5","0.2"
"b","40","42.5","42.533","0.033"
"b","41","42.533","42.967","0.433"
"b","42","42.967","43.133","0.167"
"b","43","43.133","43.967","0.833"
"b","44","43.967","44.733","0.767"
"b","45","44.733","45.7","0.967"
"b","46","45.7","46.833","1.133"
"b","47","46.833","47.9","1.067"
"b","48","47.9","47.933","0.033"
"b","49","47.933","48","0.067"
"b","50","48","48.167","0.167"
"b","51","48.167","49.033","0.867"
"b","52","49.033","50.467","1.433"
"b","53","50.467","51.5","1.033"
"b","54","51.5","51.633","0.133"
"b","55","51.633","51.833","0.2"
"b","56","51.833","52.033","0.2"
"b","57","52.033","52.167","0.133"
"b","58","52.167","52.2","0.033"
"b","59","52.2","53.733","1.533"
"b","60","53.733","54.467","0.733"
"b","61","54.467","54.633","0.167"
"b","62","54.633","55.367","0.733"
"b","63","55.367","56.467","1.1"
"b","64","56.467","58.033","1.567"
"b","65","58.033","58.933","0.9"
"b","66","58.933","59.867","0.933"
"b","67","59.867","60.633","0.767"
"b","68","60.633","62.4","1.767"
"b","69","62.4","62.867","0.467"
"b","70","62.867","63.033","0.167"
"b","71","63.033","64.3","1.267"
"b","72","64.3","64.333","0.033"
"b","73","64.333","64.433","0.1"
"b","74","64.433","65.3","0.867"
"b","75","65.3","66.067","0.767"
"b","76","66.067","68.967","2.9"
"b","77","68.967","69.5","0.533"
"b","78","69.5","69.867","0.367"
"b","79","69.867","70.233","0.367"
"b","80","70.233","70.3","0.067"
"b","81","70.3","70.5","0.2"
"b","82","70.5","70.6","0.1"
"b","83","70.6","70.867","0.267"
"b","84","70.867","70.9","0.033"
"b","85","70.9","71.1","0.2"
"b","86","71.1","71.2","0.1"
"b","87","71.2","71.267","0.067"
"b","88","71.267","71.5","0.233"
"b","89","71.5","71.6","0.1"
"b","90","71.6","71.9","0.3"
"b","91","71.9","71.933","0.033"
"b","92","71.933","72","0.067"
"b","93","72","72.067","0.067"
"b","94","72.067","72.133","0.067"
"b","95","72.133","72.233","0.1"
"b","96","72.233","72.333","0.1"
"b","97","72.333","72.367","0.033"
"b","98","72.367","72.9","0.533"
"b","99","72.9","73.8","0.9"
"b","100","73.8","73.833","0.033"
"b","101","73.833","73.933","0.1"
"b","102","73.933","73.967","0.033"
"b","103","73.967","74.167","0.2"
"b","104","74.167","74.2","0.033"
"b","105","74.2","74.267","0.067"
"b","106","74.267","74.3","0.033"
"b","107","74.3","74.433","0.133"
"b","108","74.433","74.5","0.067"
"b","109","74.5","74.6","0.1"
"b","110","74.6","74.633","0.033"
"b","111","74.633","75","0.367"
"b","112","75","75.767","0.767"
"b","113","75.767","76.967","1.2"
"b","114","76.967","77","0.033"
"b","115","77","77.1","0.1"
"b","116","77.1","77.3","0.2"
"b","117","77.3","77.4","0.1"
"b","118","77.4","77.5","0.1"
"b","119","77.5","77.633","0.133"
"b","120","77.633","77.7","0.067"
"b","121","77.7","78.133","0.433"
"b","122","78.133","78.633","0.5"
"b","123","78.633","78.9","0.267"
"b","124","78.9","79.8","0.9"
"b","125","79.8","81","1.2"
"b","126","81","81.833","0.833"
"b","127","81.833","82.333","0.5"
"b","128","82.333","82.8","0.467"
"b","129","82.8","82.9","0.1"
"b","130","82.9","83.3","0.4"
"b","131","83.3","83.333","0.033"
"b","132","83.333","83.433","0.1"
"b","133","83.433","83.5","0.067"
"b","134","83.5","83.533","0.033"
"b","135","83.533","83.9","0.367"
"b","136","83.9","84.967","1.067"
"b","137","84.967","85.967","1"
"b","138","85.967","86","0.033"
"b","139","86","86.533","0.533"
"b","140","86.533","87.733","1.2"
"b","141","87.733","92.367","4.633"
"b","142","92.367","93.767","1.4"
"b","143","93.767","96.367","2.6"
"b","144","96.367","96.467","0.1"
"b","145","96.467","103.767","7.3"
